,2017population,Continent,Count,Count (%),N,N (%),Year,index
0,24450561,Oceania,4,2.72,5538,1.11,2008,Australia
1,11429336,Europe,1,0.68,130,0.03,2008,Belgium
2,7084571,Europe,1,0.68,2327,0.47,2008,Bulgaria
3,36624199,North America,2,1.36,3619,0.72,2008,Canada
4,1409517397,Asia,3,2.04,4444,0.89,2008,China
5,4189353,Europe,1,0.68,794,0.16,2008,Croatia
6,5733551,Europe,4,2.72,40000,8.0,2008,Denmark
7,5523231,Europe,4,2.72,37973,7.59,2008,Finland
8,64979548,Europe,3,2.04,6617,1.32,2008,France
9,82114224,Europe,9,6.12,20888,4.18,2008,Germany
10,335025,Europe,6,4.08,65557,13.1,2008,Iceland
11,8321570,Asia,4,2.72,12897,2.58,2008,Israel
12,59359900,Europe,3,2.04,9281,1.86,2008,Italy
13,127484450,Asia,8,5.44,26876,5.37,2008,Japan
14,129163276,North America,1,0.68,2528,0.51,2008,Mexico
15,105544,Oceania,1,0.68,2346,0.47,2008,"Micronesia, Federated States of"
16,17035938,Europe,6,4.08,28437,5.68,2008,Netherlands
17,46354321,Europe,4,2.72,2169,0.43,2008,Spain
18,9910701,Europe,2,1.36,4389,0.88,2008,Sweden
19,8476005,Europe,2,1.36,8606,1.72,2008,Switzerland
20,66181585,Europe,42,28.57,151549,30.29,2008,United Kingdom
21,324459463,North America,36,24.49,63283,12.65,2008,United States
22,24450561,Oceania,4,1.59,9192,0.93,2009,Australia
23,285719,North America,1,0.4,5264,0.53,2009,Barbados
24,1409517397,Asia,19,7.57,68699,6.93,2009,China
25,4905769,North America,1,0.4,1776,0.18,2009,Costa Rica
26,4189353,Europe,2,0.8,1796,0.18,2009,Croatia
27,5523231,Europe,1,0.4,4462,0.45,2009,Finland
28,64979548,Europe,7,2.79,20177,2.04,2009,France
29,2100568,Africa,2,0.8,5503,0.56,2009,"Gambia, The"
30,82114224,Europe,21,8.37,52287,5.27,2009,Germany
31,335025,Europe,8,3.19,184008,18.56,2009,Iceland
32,59359900,Europe,6,2.39,12220,1.23,2009,Italy
33,127484450,Asia,20,7.97,56572,5.71,2009,Japan
34,50982212,Asia,11,4.38,48887,4.93,2009,"Korea, South"
35,31624264,Asia,2,0.8,791,0.08,2009,Malaysia
36,129163276,North America,1,0.4,1476,0.15,2009,Mexico
37,105544,Oceania,2,0.8,4168,0.42,2009,"Micronesia, Federated States of"
38,17035938,Europe,8,3.19,23617,2.38,2009,Netherlands
39,5305383,Europe,2,0.8,2216,0.22,2009,Norway
40,19679306,Europe,1,0.4,76,0.01,2009,Romania
41,46354321,Europe,3,1.2,587,0.06,2009,Spain
42,9910701,Europe,2,0.8,1641,0.17,2009,Sweden
43,8476005,Europe,1,0.4,333,0.03,2009,Switzerland
44,69037513,Asia,2,0.8,967,0.1,2009,Thailand
45,1369125,North America,1,0.4,908,0.09,2009,Trinidad and Tobago
46,80745020,Asia,1,0.4,322,0.03,2009,Turkey
47,66181585,Europe,38,15.14,191334,19.3,2009,United Kingdom
48,324459463,North America,84,33.47,291946,29.45,2009,United States
49,24450561,Oceania,12,3.45,43047,3.92,2010,Australia
50,9468338,Europe,1,0.29,1021,0.09,2010,Belarus
51,36624199,North America,1,0.29,4187,0.38,2010,Canada
52,1409517397,Asia,35,10.06,106407,9.68,2010,China
53,4189353,Europe,1,0.29,1445,0.13,2010,Croatia
54,1179551,Asia,1,0.29,875,0.08,2010,Cyprus
55,1309632,Europe,1,0.29,2744,0.25,2010,Estonia
56,5523231,Europe,6,1.72,21632,1.97,2010,Finland
57,64979548,Europe,2,0.57,6046,0.55,2010,France
58,82114224,Europe,17,4.89,83594,7.61,2010,Germany
59,335025,Europe,7,2.01,120284,10.95,2010,Iceland
60,1339180127,Asia,1,0.29,322,0.03,2010,India
61,8321570,Asia,1,0.29,266,0.02,2010,Israel
62,59359900,Europe,5,1.44,8382,0.76,2010,Italy
63,2890299,North America,1,0.29,79,0.01,2010,Jamaica
64,127484450,Asia,35,10.06,135092,12.29,2010,Japan
65,50982212,Asia,14,4.02,24872,2.26,2010,"Korea, South"
66,18622104,Africa,2,0.57,1605,0.15,2010,Malawi
67,17035938,Europe,14,4.02,54206,4.93,2010,Netherlands
68,5305383,Europe,6,1.72,11374,1.04,2010,Norway
69,104918090,Asia,2,0.57,3465,0.32,2010,Philippines
70,5708844,Asia,1,0.29,980,0.09,2010,Singapore
71,46354321,Europe,1,0.29,352,0.03,2010,Spain
72,9910701,Europe,5,1.44,22184,2.02,2010,Sweden
73,8476005,Europe,2,0.57,4470,0.41,2010,Switzerland
74,69037513,Asia,2,0.57,2246,0.2,2010,Thailand
75,80745020,Asia,1,0.29,2493,0.23,2010,Turkey
76,66181585,Europe,41,11.78,183512,16.7,2010,United Kingdom
77,324459463,North America,130,37.36,251688,22.9,2010,United States
78,24450561,Oceania,18,3.79,128603,6.57,2011,Australia
79,7084571,Europe,2,0.42,1014,0.05,2011,Bulgaria
80,36624199,North America,6,1.26,6663,0.34,2011,Canada
81,1409517397,Asia,48,10.11,221374,11.31,2011,China
82,4905769,North America,1,0.21,584,0.03,2011,Costa Rica
83,5733551,Europe,6,1.26,18776,0.96,2011,Denmark
84,5523231,Europe,3,0.63,11153,0.57,2011,Finland
85,64979548,Europe,6,1.26,6868,0.35,2011,France
