Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
European,208554317.0,7266.0,82.14531996032844,53.27760668719753,56738206.0,3385.0,74.73250574147269,50.780078007800775
British,16313095.0,135.0,6.4253976019025965,0.9898812142542894,2016620.0,20.0,2.6561831321978824,0.3000300030003
Japanese,7977218.0,715.0,3.142064544285081,5.2427042088282745,1915286.0,382.0,2.5227114511086635,5.7305730573057305
African American,3110055.0,986.0,1.2249876518701803,7.229799090775773,850446.0,409.0,1.1201616169854312,6.135613561356135
Icelandic,2886855.0,35.0,1.137073694111419,0.2566358703622232,1914619.0,35.0,2.521832914671865,0.525052505250525
East Asian,2591152.0,260.0,1.0206022736314058,1.9064378941193723,2543899.0,283.0,3.3506866012511334,4.245424542454245
Finnish,1145780.0,200.0,0.4512995274230891,1.4664906877841326,83580.0,24.0,0.11008706954661711,0.36003600360036003
African,1139313.0,185.0,0.44875230715057157,1.3565038862003225,212277.0,83.0,0.2795998188818765,1.2451245124512451
Hispanic,1042840.0,345.0,0.41075354708399014,2.5296964364276286,749832.0,208.0,0.987638281075365,3.1203120312031203
Hispanic/Latino,832506.0,102.0,0.32790724604800764,0.7479102507699076,62435.0,12.0,0.08223601563942377,0.18001800180018002
Korean,812566.0,304.0,0.3200532840511004,2.2290658454318817,389089.0,171.0,0.5124870519600826,2.5652565256525652
South Asian,687325.0,82.0,0.2707233916511675,0.6012611819914944,436805.0,80.0,0.5753359944162489,1.2001200120012
Han Chinese,623726.0,432.0,0.24567303412652836,3.167619885613726,1100432.0,326.0,1.4494296974793368,4.8904890489048904
Asian,577250.0,256.0,0.22736707937385725,1.8771080803636895,4875855.0,144.0,6.42221331041183,2.16021602160216
European or East Asian,529946.0,4.0,0.20873499219724237,0.029329813755682648,,,,
European American,480188.0,44.0,0.18913632414096798,0.32262795131250915,8795.0,4.0,0.01158429979256398,0.06000600060006001
European and South Asian,412663.0,5.0,0.16253959476076926,0.03666226719460332,,,,
Chinese,306430.0,194.0,0.12069656844093733,1.4224959671506086,435991.0,197.0,0.5742638375053738,2.9552955295529553
European and East Asian,300864.0,7.0,0.11850423381331518,0.051327174072444644,138088.0,6.0,0.18188206819278852,0.09000900090009001
Latin American,198558.0,50.0,0.0782079732287819,0.36662267194603315,1386.0,6.0,0.001825564469868525,0.09000900090009001
Indian Asian,181580.0,44.0,0.07152068301897792,0.32262795131250915,118255.0,14.0,0.15575910994538417,0.21002100210021002
African American/Afro Caribbean,161018.0,36.0,0.06342172782437375,0.2639683238011439,104015.0,48.0,0.13700294973547952,0.7200720072007201
Indian,136226.0,58.0,0.053656661333535,0.4252822994573985,53483.0,49.0,0.07044492391196126,0.7350735073507351
African American or Afro Caribbean,124245.0,12.0,0.04893758817982658,0.08798944126704795,67499.0,33.0,0.08890604339946288,0.49504950495049505
Hispanic/Latino American,116226.0,12.0,0.04577906655228399,0.08798944126704795,43200.0,6.0,0.05690071074914883,0.09000900090009001
Hispanic or Latino,109901.0,5.0,0.04328777720271336,0.03666226719460332,,,,
Latino,106372.0,50.0,0.041897775603561616,0.36662267194603315,33061.0,22.0,0.043546166622166885,0.33003300330033003
Hispanic or Latin American,104323.0,33.0,0.04109071601822245,0.2419709634843819,,,,
Danish,82529.0,12.0,0.03250650098509323,0.08798944126704795,33216.0,8.0,0.0437503242649011,0.12001200120012002
European and Asian,79845.0,2.0,0.03144932776544934,0.014664906877841324,136010.0,2.0,0.1791450386340679,0.030003000300030006
Dutch,77514.0,25.0,0.03053119409369454,0.18331133597301658,30504.0,6.0,0.040178224090093424,0.09000900090009001
Filipino,75359.0,49.0,0.029682383256014737,0.3592902185071125,21546.0,23.0,0.028379229486137976,0.34503450345034503
Taiwanese Han Chinese,72100.0,14.0,0.02839872918640989,0.10265434814488929,,,,
Swedish,71116.0,24.0,0.028011151523172337,0.1759788825340959,6366.0,4.0,0.008384951959006515,0.06000600060006001
Sardinian,70847.0,25.0,0.027905197873364512,0.18331133597301658,25831.0,13.0,0.034023200448177394,0.19501950195019502
European and Hispanic/Latino,62916.0,3.0,0.024781337662859424,0.02199736031676199,,,,
Pomak,62803.0,41.0,0.024736829252345358,0.3006305909957472,,,,
Northern European,61654.0,19.0,0.024284261432162484,0.1393166153394926,16962.0,3.0,0.022341431845533853,0.045004500450045004
Rucphen,60287.0,32.0,0.023745827828863978,0.23463851004546118,8337.0,7.0,0.01098104688693643,0.10501050105010501
Mylopotamos,56096.0,41.0,0.02209507784245283,0.3006305909957472,,,,
Sub Saharan African,53882.0,50.0,0.021223028100168344,0.36662267194603315,29643.0,33.0,0.03904416131335692,0.49504950495049505
Spanish,53778.0,22.0,0.02118206460730584,0.16131397565625458,1397.0,4.0,0.0018400530767722434,0.06000600060006001
Native Hawaiian,51803.0,43.0,0.020404152122657303,0.3152954978735885,1277.0,2.0,0.0016819955469134966,0.030003000300030006
Bangladeshi,50210.0,38.0,0.019776701698330658,0.2786332306789852,,,,
