EFO URI,STUDY ACCESSION,PUBMEDID,ASSOCIATION COUNT,DISEASE/TRAIT
http://www.ebi.ac.uk/efo/efo_0007939,GCST008269,31295674,0,Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0008459,GCST008269,31295674,0,Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0000341,GCST008269,31295674,0,Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0007939,GCST008268,31295674,0,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0008459,GCST008268,31295674,0,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0000341,GCST008268,31295674,0,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0000341,GCST008292,31299468,1,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://purl.obolibrary.org/obo/go_0031960,GCST008292,31299468,1,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0005921,GCST008293,31299468,0,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0000341,GCST008293,31299468,0,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://purl.obolibrary.org/obo/go_0031960,GCST008293,31299468,0,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0007939,GCST008294,31299468,1,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0000341,GCST008294,31299468,1,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://purl.obolibrary.org/obo/go_0031960,GCST008294,31299468,1,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease
http://www.ebi.ac.uk/efo/efo_0003819,GCST008295,31235808,47,"Number of decayed, missing and filled tooth surfaces or use of dentures"
http://www.ebi.ac.uk/efo/efo_0000649,GCST008296,31235808,0,Periodontitis or loose teeth
http://www.ebi.ac.uk/efo/efo_0007780,GCST008296,31235808,0,Periodontitis or loose teeth
http://www.ebi.ac.uk/efo/efo_0007780,GCST008297,31235808,0,Loose teeth
http://purl.obolibrary.org/obo/hp_0000155,GCST008304,31235808,0,Mouth ulcers
http://www.ebi.ac.uk/efo/efo_0007780,GCST008303,31235808,0,Painful gums
http://purl.obolibrary.org/obo/hp_0000225,GCST008301,31235808,0,Bleeding gums
http://www.ebi.ac.uk/efo/efo_0000649,GCST008300,31235808,0,Periodontitis
http://www.ebi.ac.uk/efo/efo_0003819,GCST008299,31235808,0,Number of decayed and filled tooth surfaces per available tooth surface
http://www.ebi.ac.uk/efo/efo_0003819,GCST008302,31235808,2,"Number of decayed, missing and filled tooth surfaces"
http://www.ebi.ac.uk/efo/efo_0000681,GCST008225,31231134,3,Renal cell carcinoma
http://www.ebi.ac.uk/efo/efo_0000681,GCST008226,31231134,8,Renal cell carcinoma
http://www.ebi.ac.uk/efo/efo_0008343,GCST008224,31231134,1,Renal cell carcinoma x sex interaction
http://www.ebi.ac.uk/efo/efo_0000681,GCST008224,31231134,1,Renal cell carcinoma x sex interaction
http://www.ebi.ac.uk/efo/efo_0001663,GCST008231,31226226,3,Prostate cancer
http://www.ebi.ac.uk/efo/efo_0004735,GCST008173,31219225,9,Alanine aminotransferase levels
http://www.ebi.ac.uk/efo/efo_0004736,GCST008174,31219225,6,Aspartate aminotransferase levels
http://www.ebi.ac.uk/efo/efo_0004532,GCST008175,31219225,8,Gamma glutamyl transferase levels
http://www.ebi.ac.uk/efo/efo_0004340,GCST008025,31217584,63,Body mass index
http://www.ebi.ac.uk/efo/efo_0004684,GCST008211,31217265,1,Tumor necrosis factor alpha levels
http://www.ebi.ac.uk/efo/efo_0008056,GCST008199,31217265,1,Interferon gamma-induced protein 10 levels
http://www.ebi.ac.uk/efo/efo_0008191,GCST008197,31217265,0,Interleukin-8 levels
http://www.ebi.ac.uk/efo/efo_0004810,GCST008200,31217265,0,Interleukin-6 levels
http://www.ebi.ac.uk/efo/efo_0008184,GCST008201,31217265,0,Interleukin-4 levels
http://www.ebi.ac.uk/efo/efo_0004754,GCST008203,31217265,0,Interleukin-1-receptor antagonist levels
http://www.ebi.ac.uk/efo/efo_0004812,GCST008209,31217265,2,Interleukin-1-beta levels
http://www.ebi.ac.uk/efo/efo_0004749,GCST008204,31217265,1,Monocyte chemoattractant protein-1 levels
http://www.ebi.ac.uk/efo/efo_0008174,GCST008205,31217265,0,Interleukin-17 levels
http://www.ebi.ac.uk/efo/efo_0004762,GCST008198,31217265,3,Vascular endothelial growth factor levels
http://www.ebi.ac.uk/efo/efo_0004792,GCST008206,31217265,0,Plasminogen activator inhibitor-1 (PAI-1) levels
http://www.ebi.ac.uk/efo/efo_0004790,GCST008208,31217265,0,Soluble CD40 ligand levels
http://www.ebi.ac.uk/efo/efo_0009412,GCST008207,31217265,0,Interleukin-1-alpha levels
http://www.ebi.ac.uk/efo/efo_0004520,GCST008210,31217265,3,Soluble ICAM-1
http://www.ebi.ac.uk/efo/efo_0004575,GCST008202,31217265,2,Soluble E-selectin levels
http://www.ebi.ac.uk/efo/efo_0004458,GCST008055,31217584,45,C-reactive protein levels
http://www.ebi.ac.uk/efo/efo_0005055,GCST008054,31217584,26,QRS duration
http://www.ebi.ac.uk/efo/efo_0004339,GCST008041,31217584,0,Height
http://www.ebi.ac.uk/efo/efo_0004339,GCST008040,31217584,0,Height
http://www.ebi.ac.uk/efo/efo_0004339,GCST008053,31217584,214,Height
http://www.ebi.ac.uk/efo/efo_0004343,GCST008052,31217584,11,Waist-hip ratio
http://www.ebi.ac.uk/efo/efo_0004343,GCST008051,31217584,2,Waist-hip ratio
http://www.ebi.ac.uk/efo/efo_0004343,GCST008050,31217584,12,Waist-hip ratio
http://www.ebi.ac.uk/efo/efo_0004308,GCST008049,31217584,47,White blood cell count
http://www.ebi.ac.uk/efo/efo_0001360,GCST008048,31217584,2,Type 2 diabetes
http://www.ebi.ac.uk/efo/efo_0004530,GCST008046,31217584,137,Triglyceride levels
http://www.ebi.ac.uk/efo/efo_0004574,GCST008045,31217584,170,Total cholesterol levels
http://www.ebi.ac.uk/efo/efo_0006335,GCST008044,31217584,13,Systolic blood pressure
http://www.ebi.ac.uk/efo/efo_0004682,GCST008043,31217584,51,QT interval
http://www.ebi.ac.uk/efo/efo_0004462,GCST008042,31217584,31,PR interval
http://www.ebi.ac.uk/efo/efo_0004309,GCST008039,31217584,36,Platelet count
http://www.ebi.ac.uk/efo/efo_0004528,GCST008038,31217584,16,Mean corpuscular hemoglobin concentration
http://www.ebi.ac.uk/efo/efo_0004611,GCST008037,31217584,131,Low density lipoprotein cholesterol levels
http://www.ebi.ac.uk/efo/efo_0000537,GCST008036,31217584,2,Hypertension
http://www.ebi.ac.uk/efo/efo_0004612,GCST008035,31217584,153,High density lipoprotein cholesterol levels
http://www.ebi.ac.uk/efo/efo_0004541,GCST008034,31217584,20,Hemoglobin A1c levels
http://www.ebi.ac.uk/efo/efo_0004466,GCST008033,31217584,6,Fasting blood insulin
http://www.ebi.ac.uk/efo/efo_0004465,GCST008032,31217584,28,Fasting blood glucose
http://www.ebi.ac.uk/efo/efo_0003884,GCST008031,31217584,0,End-stage renal disease
http://www.ebi.ac.uk/efo/efo_0005208,GCST008030,31217584,9,Estimated glomerular filtration rate
http://www.ebi.ac.uk/efo/efo_0006336,GCST008029,31217584,13,Diastolic blood pressure
http://www.ebi.ac.uk/efo/efo_0006782,GCST008028,31217584,16,Coffee consumption (cups per day)
http://www.ebi.ac.uk/efo/efo_0006525,GCST008027,31217584,5,Smoking behaviour (cigarettes smoked per day)
http://www.ebi.ac.uk/efo/efo_0003884,GCST008026,31217584,0,Chronic kidney disease
http://www.ebi.ac.uk/efo/efo_0008336,GCST008274,31209788,1,Cerebral microbleed progression
http://www.ebi.ac.uk/efo/efo_0004999,GCST008108,31163085,7,N-glycan levels
http://www.ebi.ac.uk/efo/efo_0005112,GCST008176,31194736,9,Gestational age at birth (child effect)
http://www.ebi.ac.uk/efo/efo_0004309,GCST008168,31194788,1,Platelet count
http://www.ebi.ac.uk/efo/efo_0004526,GCST008166,31194788,3,Mean corpuscular volume
http://www.ebi.ac.uk/efo/efo_0004584,GCST008167,31194788,5,Mean platelet volume
http://www.ebi.ac.uk/efo/efo_0006917,GCST008181,31194736,22,Spontaneous preterm birth without premature rupture of membranes
http://purl.obolibrary.org/obo/mondo_0012511,GCST008180,31194736,18,Spontaneous preterm birth with premature rupture of membranes
http://www.ebi.ac.uk/efo/efo_0006917,GCST008180,31194736,18,Spontaneous preterm birth with premature rupture of membranes
http://www.ebi.ac.uk/efo/efo_0006917,GCST008179,31194736,24,Moderate-to-late spontaneous preterm birth
http://www.ebi.ac.uk/efo/efo_0006917,GCST008178,31194736,13,Early spontaneous preterm birth
http://www.ebi.ac.uk/efo/efo_0006917,GCST008177,31194736,19,Spontaneous preterm birth (preterm birth)
http://www.ebi.ac.uk/efo/efo_0004704,GCST008149,31188284,0,Age at menopause
http://www.ebi.ac.uk/efo/efo_0000195,GCST008140,31170924,1,Metabolic syndrome
http://www.ebi.ac.uk/efo/efo_0000195,GCST008146,31170924,2,Metabolic syndrome
http://www.ebi.ac.uk/efo/efo_0004342,GCST008145,31170924,3,Waist circumference
http://www.ebi.ac.uk/efo/efo_0004465,GCST008144,31170924,7,Fasting plasma glucose
http://www.ebi.ac.uk/efo/efo_0006336,GCST008143,31170924,2,Diastolic blood pressure
http://www.ebi.ac.uk/efo/efo_0006335,GCST008142,31170924,5,Systolic blood pressure
http://www.ebi.ac.uk/efo/efo_0004612,GCST008141,31170924,7,HDL cholesterol
http://www.ebi.ac.uk/efo/efo_0004530,GCST008150,31170924,9,Triglyceride levels
http://www.ebi.ac.uk/efo/efo_0003761,GCST008118,31164008,20,Suicide attempts in major depressive disorder
http://www.ebi.ac.uk/efo/efo_0004321,GCST008118,31164008,20,Suicide attempts in major depressive disorder
http://www.ebi.ac.uk/efo/efo_0000692,GCST008122,31164008,18,Suicide attempts in bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0000289,GCST008122,31164008,18,Suicide attempts in bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0004321,GCST008122,31164008,18,Suicide attempts in bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0003761,GCST008121,31164008,0,Suicide attempts in major depressive disorder or bipolar disorder
http://www.ebi.ac.uk/efo/efo_0000289,GCST008121,31164008,0,Suicide attempts in major depressive disorder or bipolar disorder
http://www.ebi.ac.uk/efo/efo_0004321,GCST008121,31164008,0,Suicide attempts in major depressive disorder or bipolar disorder
http://www.ebi.ac.uk/efo/efo_0000692,GCST008120,31164008,20,Suicide attempts in schizophrenia
http://www.ebi.ac.uk/efo/efo_0004321,GCST008120,31164008,20,Suicide attempts in schizophrenia
http://www.ebi.ac.uk/efo/efo_0000289,GCST008119,31164008,14,Suicide attempts in bipolar disorder
http://www.ebi.ac.uk/efo/efo_0004321,GCST008119,31164008,14,Suicide attempts in bipolar disorder
http://www.ebi.ac.uk/efo/efo_0003761,GCST008123,31164008,40,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0000692,GCST008123,31164008,40,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0000289,GCST008123,31164008,40,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0004321,GCST008123,31164008,40,Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia
http://www.ebi.ac.uk/efo/efo_0005208,GCST008058,31152163,307,Estimated glomerular filtration rate
http://www.ebi.ac.uk/efo/efo_0005208,GCST008066,31152163,0,Estimated glomerular filtration rate
http://www.ebi.ac.uk/efo/efo_0003884,GCST008065,31152163,0,Chronic kidney disease
http://www.ebi.ac.uk/efo/efo_0003884,GCST008064,31152163,47,Chronic kidney disease
http://www.ebi.ac.uk/efo/efo_0004741,GCST008063,31152163,0,Blood urea nitrogen levels
http://www.ebi.ac.uk/efo/efo_0004741,GCST008062,31152163,132,Blood urea nitrogen levels
http://www.ebi.ac.uk/efo/efo_0005208,GCST008061,31152163,3,Estimated glomerular filtration rate
