,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
0,European,133492.0,30054594.0,MacGregor S,Intraocular pressure,initial,2018-07-27,GCST006394,Other measurement,#d53e4f
1,European,394929.0,30048462.0,Kim SK,Heel bone mineral density,initial,2018-07-26,GCST006433,Other measurement,#d53e4f
2,European,8372.0,30049742.0,Terzikhan N,Diffusing capacity of the lung for carbon monoxide traits,initial,2018-07-26,GCST006473,Other measurement,#d53e4f
3,European,92340.0,30046033.0,van Setten J,PR interval,initial,2018-07-25,GCST007045,Cardiovascular measurement,#d53e4f
4,European,2740.0,30079052.0,Rujescu D,Vestibular neuritis,initial,2018-07-20,GCST006275,Neurological disorder,#d53e4f
5,European,491.0,30031151.0,Virtanen VB,Hirschsprung disease,initial,2018-07-18,GCST006272,Digestive system disorder,#d53e4f
6,European,331.0,30031151.0,Virtanen VB,Hirschsprung disease,replication,2018-07-18,GCST006272,Digestive system disorder,#d53e4f
7,European,454.0,30031151.0,Virtanen VB,Hirschsprung disease,initial,2018-07-18,GCST006271,Digestive system disorder,#d53e4f
8,European,2079.0,30093639.0,Machiela MJ,Ewing sarcoma,initial,2018-08-09,GCST006467,Cancer,#d53e4f
9,European,4735.0,30093639.0,Machiela MJ,Ewing sarcoma,replication,2018-08-09,GCST006467,Cancer,#d53e4f
12,European,12308.0,30089514.0,Chen JA,Progressive supranuclear palsy,initial,2018-08-08,GCST006418,Neurological disorder,#d53e4f
13,European,98.0,30087447.0,Aubart M,Severe aortic features in Marfan syndrome,initial,2018-08-07,GCST006957,Neurological disorder,#d53e4f
14,European,98.0,30087447.0,Aubart M,Severe aortic features in Marfan syndrome,initial,2018-08-07,GCST006957,Cardiovascular disease,#d53e4f
15,European,24196.0,30087453.0,Yilmaz Z,Anorexia nervosa or obsessive-compulsive disorder,initial,2018-08-07,GCST006576,Neurological disorder,#d53e4f
16,European,24196.0,30087453.0,Yilmaz Z,Anorexia nervosa or obsessive-compulsive disorder,initial,2018-08-07,GCST006576,Metabolic disorder,#d53e4f
17,Hispanic/Latin American,77.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,#807dba
18,European,90.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,#d53e4f
19,African Am./Caribbean,24.0,30092369.0,Mainali B,Infection persistence (>18 months) in genital human papillomavirus 16 infection,initial,2018-08-06,GCST008308,Other disease,#fee08b
20,Asian,1502.0,30099483.0,Hwangbo Y,Thyroid nodules,initial,2018-08-06,GCST006387,Other disease,#3288bd
21,Asian,5081.0,30099483.0,Hwangbo Y,Thyroid nodules,replication,2018-08-06,GCST006387,Other disease,#3288bd
22,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Other measurement,#d53e4f
23,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Hematological measurement,#d53e4f
24,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Lipid or lipoprotein measurement,#d53e4f
25,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Cardiovascular measurement,#d53e4f
26,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Liver enzyme measurement,#d53e4f
27,European,3200.0,30072576.0,Emilsson V,Blood protein levels,initial,2018-08-02,GCST006585,Inflammatory measurement,#d53e4f
28,European,732.0,30145303.0,Kimbrel NA,Suicide attempts,initial,2018-07-17,GCST006428,Biological process,#d53e4f
30,European,733.0,30145303.0,Kimbrel NA,Suicidal ideation,initial,2018-07-17,GCST006429,Biological process,#d53e4f
32,European,733.0,30145303.0,Kimbrel NA,Suicidal ideation,initial,2018-07-17,GCST006429,Other measurement,#d53e4f
35,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Immune system disorder,#d53e4f
36,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Immune system disorder,#d53e4f
37,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Response to drug,#d53e4f
38,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Response to drug,#d53e4f
39,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Digestive system disorder,#d53e4f
40,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Digestive system disorder,#d53e4f
43,European,243.0,30014611.0,Weiss RB,Age at loss of ambulation in Duchenne muscular dystrophy,initial,2018-07-16,GCST006286,Neurological disorder,#d53e4f
45,European,243.0,30014611.0,Weiss RB,Age at loss of ambulation in Duchenne muscular dystrophy,initial,2018-07-16,GCST006286,Other measurement,#d53e4f
47,Asian,636.0,30012571.0,Jia X,Childhood steroid-sensitive nephrotic syndrome,initial,2018-07-16,GCST006246,Other disease,#3288bd
48,Asian,935.0,30012571.0,Jia X,Childhood steroid-sensitive nephrotic syndrome,initial,2018-07-16,GCST006246,Other disease,#3288bd
53,European,137086.0,30054594.0,MacGregor S,Glaucoma,initial,2018-07-27,GCST006395,Neurological disorder,#d53e4f
54,African,8429.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,#fc8d59
55,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,#807dba
56,Asian,9959.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,#3288bd
57,European,60552.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,#d53e4f
58,European,1030836.0,30061737.0,Nielsen JB,Atrial fibrillation,initial,2018-07-30,GCST006414,Cardiovascular disease,#d53e4f
59,European,60552.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,#d53e4f
60,African,8429.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,#fc8d59
61,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,#807dba
62,Asian,9959.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,#3288bd
63,Asian,485.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),replication,2018-07-27,GCST006277,Neurological disorder,#3288bd
64,Asian,434.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),initial,2018-07-27,GCST006277,Neurological disorder,#3288bd
65,Asian,485.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),replication,2018-07-27,GCST006277,Response to drug,#3288bd
66,Asian,434.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),initial,2018-07-27,GCST006277,Response to drug,#3288bd
67,European,1645.0,30068317.0,Li X,Post bronchodilator FEV1/FVC ratio in smoking,initial,2018-08-01,GCST006310,Other measurement,#d53e4f
68,European,1645.0,30068317.0,Li X,Post bronchodilator FEV1/FVC ratio in smoking,initial,2018-08-01,GCST006310,Biological process,#d53e4f
69,European,2270.0,30067744.0,Howe LJ,Nonsyndromic cleft lip with or without cleft palate,initial,2018-08-01,GCST006415,Other trait,#d53e4f
71,Asian,447.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,initial,2018-08-01,GCST006278,Response to drug,#3288bd
72,Asian,182.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,replication,2018-08-01,GCST006278,Response to drug,#3288bd
73,Asian,447.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,initial,2018-08-01,GCST006278,Immune system disorder,#3288bd
74,Asian,182.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,replication,2018-08-01,GCST006278,Immune system disorder,#3288bd
75,European,6136.0,30067744.0,Howe LJ,Philtrum width,initial,2018-08-01,GCST006407,Other measurement,#d53e4f
76,European,1645.0,30068317.0,Li X,Post bronchodilator percent predicted FEV1 in smoking,initial,2018-08-01,GCST006309,Other measurement,#d53e4f
77,European,1645.0,30068317.0,Li X,Post bronchodilator percent predicted FEV1 in smoking,initial,2018-08-01,GCST006309,Biological process,#d53e4f
78,European,497.0,30066433.0,Jabbari E,Non-Richardson's syndrome vs Richardson's syndrome in progressive supranuclear palsy,initial,2018-07-31,GCST006276,Neurological disorder,#d53e4f
79,European,60552.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,#d53e4f
80,African,8429.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,#fc8d59
81,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,#807dba
82,Asian,9959.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,#3288bd
83,European,759.0,30104601.0,Ren H,Anhedonia in major depressive disorder,initial,2018-08-13,GCST006927,Other measurement,#d53e4f
85,European,759.0,30104601.0,Ren H,Anhedonia in major depressive disorder,initial,2018-08-13,GCST006927,Neurological disorder,#d53e4f
87,European,368.0,30102696.0,Chen Y,Biliary atresia,replication,2018-08-13,GCST006390,Digestive system disorder,#d53e4f
88,European,2059.0,30102696.0,Chen Y,Biliary atresia,initial,2018-08-13,GCST006390,Digestive system disorder,#d53e4f
89,European,32465.0,30104567.0,Ji X,Lung cancer,replication,2018-08-13,GCST006399,Cancer,#d53e4f
90,European,10473.0,30104567.0,Ji X,Lung cancer,initial,2018-08-13,GCST006399,Cancer,#d53e4f
91,European,164.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,#d53e4f
92,European,444.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,#d53e4f
93,European,10473.0,30104567.0,Ji X,Lung cancer (SNP x SNP interaction),initial,2018-08-13,GCST006398,Cancer,#d53e4f
94,Asian,13980.0,30102679.0,Hara M,Leisure-time exercise behaviour,initial,2018-08-10,GCST006857,Biological process,#3288bd
95,Asian,2036.0,30102679.0,Hara M,Leisure-time exercise behaviour,initial,2018-08-10,GCST006857,Biological process,#3288bd
96,Asian,13980.0,30102679.0,Hara M,Leisure-time exercise behaviour (age-stratified),initial,2018-08-10,GCST006858,Biological process,#3288bd
97,Asian,2036.0,30102679.0,Hara M,Leisure-time exercise behaviour (age-stratified),initial,2018-08-10,GCST006858,Biological process,#3288bd
98,European,26271.0,30104567.0,Ji X,Lung cancer in ever smokers,replication,2018-08-13,GCST006400,Other measurement,#d53e4f
99,European,8669.0,30104567.0,Ji X,Lung cancer in ever smokers,initial,2018-08-13,GCST006400,Other measurement,#d53e4f
100,European,26271.0,30104567.0,Ji X,Lung cancer in ever smokers,replication,2018-08-13,GCST006400,Cancer,#d53e4f
101,European,8669.0,30104567.0,Ji X,Lung cancer in ever smokers,initial,2018-08-13,GCST006400,Cancer,#d53e4f
102,European,4098.0,30073298.0,Schellevis RL,Chronic central serous retinopathy,initial,2018-08-02,GCST006416,Neurological disorder,#d53e4f
103,European,3126.0,30070759.0,Olsson M,Plasma factor VII activating protease levels,initial,2018-08-02,GCST006417,Other measurement,#d53e4f
104,European,830.0,30196823.0,Blum S,Guillain-Barré syndrome,initial,2018-08-02,GCST006836,Immune system disorder,#d53e4f
105,European,688809.0,29942085.0,Nagel M,Depression,initial,2018-06-25,GCST006477,Neurological disorder,#d53e4f
106,European,688809.0,29942085.0,Nagel M,Depression,initial,2018-06-25,GCST006477,Other measurement,#d53e4f
107,Asian,1999.0,29953918.0,Deng C,Serum folate levels,initial,2018-06-25,GCST006137,Other measurement,#3288bd
108,European,269867.0,29942086.0,Savage JE,Intelligence,initial,2018-06-25,GCST006250,Biological process,#d53e4f
109,European,449484.0,29942085.0,Nagel M,Neuroticism,initial,2018-06-25,GCST006476,Neurological disorder,#d53e4f
110,European,449484.0,29942085.0,Nagel M,Neuroticism,initial,2018-06-25,GCST006476,Other measurement,#d53e4f
111,European,348219.0,29942085.0,Nagel M,Worry,initial,2018-06-25,GCST006478,Other measurement,#d53e4f
112,European,348219.0,29942085.0,Nagel M,Worry,initial,2018-06-25,GCST006478,Other trait,#d53e4f
113,European,357957.0,29942085.0,Nagel M,Depressed affect,initial,2018-06-25,GCST006475,Neurological disorder,#d53e4f
114,European,456426.0,29936532.0,Colodro-Conde L,Socioeconomic status of place of residence,initial,2018-06-23,GCST007422,Other measurement,#d53e4f
115,European,504130.0,29936532.0,Colodro-Conde L,Population density of place of residence,initial,2018-06-23,GCST007421,Other measurement,#d53e4f
116,European,172.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Response to drug,#d53e4f
117,European,192.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Response to drug,#d53e4f
118,European,172.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Other trait,#d53e4f
119,European,192.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Other trait,#d53e4f
121,European,17037.0,29931343.0,Haworth S,Childhood dental caries in primary teeth,initial,2018-06-20,GCST006312,Digestive system disorder,#d53e4f
122,European,166.0,29915124.0,Marini S,Hematoma volume in non-lobar spontaneous intracerebral hemorrhage,initial,2018-06-18,GCST006140,Cardiovascular disease,#d53e4f
123,European,169.0,29915124.0,Marini S,Hematoma volume in non-lobar spontaneous intracerebral hemorrhage,replication,2018-06-18,GCST006140,Cardiovascular disease,#d53e4f
124,African Am./Caribbean,6597.0,29917119.0,Schmit SL,Colorectal cancer,initial,2018-06-16,GCST006131,Cancer,#fee08b
125,Asian,21630.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,#3288bd
126,European,61335.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,#d53e4f
127,European,67812.0,29917119.0,Schmit SL,Colorectal cancer,initial,2018-06-16,GCST006131,Cancer,#d53e4f
128,Hispanic/Latin American,5941.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,#807dba
129,European,2796.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,#d53e4f
130,African,510.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,#fc8d59
131,Other/Mixed,346.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,#99d594
132,European,31930.0,29924316.0,Byun J,Familial squamous cell lung carcinoma,initial,2018-06-19,GCST006088,Other measurement,#d53e4f
133,European,31930.0,29924316.0,Byun J,Familial squamous cell lung carcinoma,initial,2018-06-19,GCST006088,Cancer,#d53e4f
134,European,32338.0,29924316.0,Byun J,Familial lung adenocarcinoma,initial,2018-06-19,GCST006087,Other measurement,#d53e4f
135,European,32338.0,29924316.0,Byun J,Familial lung adenocarcinoma,initial,2018-06-19,GCST006087,Cancer,#d53e4f
136,European,35953.0,29924316.0,Byun J,Familial lung cancer,initial,2018-06-19,GCST006086,Other measurement,#d53e4f
137,European,35953.0,29924316.0,Byun J,Familial lung cancer,initial,2018-06-19,GCST006086,Cancer,#d53e4f
138,European,228.0,29915124.0,Marini S,Hematoma volume in lobar spontaneous intracerebral hemorrhage,initial,2018-06-18,GCST006139,Cardiovascular disease,#d53e4f
139,European,71.0,29915124.0,Marini S,Hematoma volume in lobar spontaneous intracerebral hemorrhage,replication,2018-06-18,GCST006139,Cardiovascular disease,#d53e4f
140,European,24953.0,30003630.0,Minica CC,Cannabis use (age at onset),initial,2018-07-13,GCST006386,Biological process,#d53e4f
141,European,3735.0,30003630.0,Minica CC,Cannabis use (age at onset),replication,2018-07-13,GCST006386,Biological process,#d53e4f
142,European,24953.0,30003630.0,Minica CC,Cannabis use (age at onset),initial,2018-07-13,GCST006386,Other measurement,#d53e4f
