,Other measurement,Cardiovascular measurement,Neurological disorder,Digestive system disorder,Cancer,Cardiovascular disease,Metabolic disorder,Other disease,Biological process,Immune system disorder,Response to drug,Other trait,Body measurement,Hematological measurement,Lipid or lipoprotein measurement,Inflammatory measurement,Liver enzyme measurement,Year
European,20,1,13,3,16,1,8,5,1,13,3,9,11,2,15,2,0,2008
In Part Not Recorded,2,0,3,0,3,0,0,0,0,2,0,1,2,0,0,0,0,2008
Hispanic/Latin American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
African Am./Caribbean,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2008
Asian,1,0,3,0,2,1,2,0,0,0,0,0,2,0,3,0,0,2008
African,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Other/Mixed,1,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2008
European,36,7,18,5,23,10,7,9,5,10,6,3,3,33,1,3,0,2009
In Part Not Recorded,5,1,1,1,2,0,0,2,0,0,2,1,0,1,0,0,0,2009
Hispanic/Latin American,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2009
African Am./Caribbean,0,1,2,0,0,2,0,3,1,0,1,0,0,0,0,0,0,2009
Asian,9,1,5,4,5,3,1,1,0,4,0,1,3,4,1,0,0,2009
African,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2009
Other/Mixed,0,0,3,0,3,1,0,1,1,1,2,0,0,0,0,1,0,2009
European,50,8,25,5,20,8,4,19,5,14,5,7,11,3,13,2,0,2010
In Part Not Recorded,2,1,6,0,3,0,0,3,2,3,0,0,0,0,0,0,0,2010
Hispanic/Latin American,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2010
African Am./Caribbean,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,2010
Asian,5,1,3,1,11,9,3,6,0,6,5,5,0,2,3,1,0,2010
African,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2010
Other/Mixed,2,0,4,2,1,4,1,3,0,0,1,1,2,0,0,0,0,2010
European,42,5,34,4,28,19,5,17,9,10,11,5,1,4,2,2,1,2011
In Part Not Recorded,8,1,6,1,0,3,1,4,3,1,2,1,0,1,1,0,0,2011
Hispanic/Latin American,2,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,2011
African Am./Caribbean,3,1,2,0,2,3,1,3,1,0,0,1,3,0,2,0,0,2011
Asian,8,1,7,4,14,5,3,11,2,14,3,5,0,2,4,0,2,2011
African,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2011
Other/Mixed,2,0,2,0,5,1,0,2,1,1,1,0,1,0,1,0,0,2011
European,42,2,19,11,27,11,6,17,2,9,9,10,9,6,4,4,0,2012
In Part Not Recorded,3,0,12,1,1,2,1,5,0,3,3,0,0,0,0,0,0,2012
Hispanic/Latin American,4,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2012
