,Other measurement,Cardiovascular measurement,Neurological disorder,Digestive system disorder,Cancer,Cardiovascular disease,Metabolic disorder,Other disease,Biological process,Immune system disorder,Response to drug,Other trait,Body measurement,Hematological measurement,Lipid or lipoprotein measurement,Inflammatory measurement,Liver enzyme measurement,Year
European,142426.0,4570.0,83998.0,15976.0,135218.0,20332.0,30460.0,8966.0,11753.0,49779.0,915.0,39907.0,266507.0,5911.0,207085.0,7886.0,0.0,2008
In Part Not Recorded,3621.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Hispanic/Latin American,0.0,0.0,34.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
African Am./Caribbean,0.0,0.0,462.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,2320.0,0.0,0.0,0.0,0.0,2008
Asian,0.0,0.0,1191.0,0.0,1093.0,0.0,3443.0,0.0,0.0,0.0,16.0,0.0,3302.0,0.0,6374.0,0.0,0.0,2008
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Other/Mixed,0.0,868.0,3160.0,0.0,4448.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,3155.0,0.0,0.0,2008
European,400053.0,98170.0,118859.0,12243.0,194074.0,150821.0,82547.0,67804.0,13348.0,52805.0,8633.0,46600.0,63785.0,272298.0,25947.0,5761.0,0.0,2009
In Part Not Recorded,466.0,0.0,440.0,0.0,0.0,235.0,0.0,0.0,0.0,86.0,206.0,0.0,0.0,42945.0,0.0,3477.0,0.0,2009
Hispanic/Latin American,458.0,0.0,0.0,75.0,0.0,0.0,0.0,1476.0,0.0,0.0,183.0,229.0,0.0,0.0,0.0,0.0,0.0,2009
African Am./Caribbean,0.0,0.0,4560.0,191.0,0.0,1017.0,0.0,1864.0,2.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
Asian,34311.0,8842.0,7466.0,1782.0,5069.0,616.0,1022.0,965.0,0.0,6126.0,5.0,1291.0,35368.0,9685.0,900.0,0.0,0.0,2009
African,0.0,0.0,0.0,2040.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,848.0,0.0,0.0,0.0,2009
Other/Mixed,18182.0,1262.0,6238.0,0.0,78.0,322.0,0.0,0.0,0.0,0.0,1834.0,0.0,14530.0,0.0,11981.0,20873.0,0.0,2009
European,833783.0,186975.0,191871.0,34415.0,167757.0,107014.0,61444.0,209606.0,201725.0,89244.0,9140.0,137597.0,398079.0,60414.0,460832.0,2528.0,236.0,2010
In Part Not Recorded,2949.0,1786.0,49969.0,100.0,1145.0,0.0,0.0,2073.0,0.0,4759.0,94.0,192.0,5351.0,0.0,6078.0,0.0,0.0,2010
Hispanic/Latin American,236.0,858.0,34.0,3.0,0.0,0.0,286.0,709.0,0.0,32.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
African Am./Caribbean,3071.0,0.0,5923.0,0.0,79.0,2895.0,1994.0,4599.0,172.0,20.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Asian,70394.0,35347.0,4526.0,762.0,40829.0,6440.0,14713.0,12378.0,95.0,11815.0,3204.0,2651.0,21931.0,150327.0,23395.0,10112.0,57608.0,2010
African,1654.0,0.0,12.0,198.0,0.0,466.0,0.0,6738.0,226.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Other/Mixed,15561.0,0.0,28092.0,177.0,395.0,2493.0,0.0,26489.0,1476.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
European,631328.0,139527.0,298333.0,23471.0,279723.0,366420.0,215136.0,145670.0,169993.0,190734.0,9556.0,61455.0,1347.0,98821.0,211639.0,79847.0,212370.0,2011
In Part Not Recorded,4391.0,0.0,11970.0,177.0,545.0,15746.0,0.0,517.0,0.0,8844.0,223.0,0.0,0.0,3117.0,1538.0,0.0,0.0,2011
Hispanic/Latin American,8720.0,0.0,0.0,99.0,0.0,0.0,3857.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
African Am./Caribbean,48313.0,8350.0,3474.0,201.0,10464.0,16869.0,8625.0,4162.0,0.0,0.0,462.0,2322.0,9864.0,16828.0,15378.0,2114.0,0.0,2011
Asian,93490.0,12545.0,29217.0,9719.0,32829.0,26591.0,67429.0,33727.0,12025.0,26880.0,2608.0,6826.0,0.0,8794.0,39634.0,1709.0,51307.0,2011
African,496.0,0.0,1103.0,0.0,0.0,0.0,0.0,905.0,0.0,798.0,694.0,0.0,0.0,1717.0,0.0,0.0,0.0,2011
Other/Mixed,1829.0,0.0,1662.0,0.0,0.0,5.0,0.0,1848.0,0.0,0.0,496.0,61.0,21547.0,0.0,0.0,0.0,0.0,2011
European,1090910.0,22693.0,216508.0,145802.0,328609.0,166948.0,204217.0,219738.0,8241.0,279102.0,30989.0,109025.0,336825.0,159506.0,34368.0,21886.0,310.0,2012
In Part Not Recorded,4351.0,0.0,25235.0,0.0,2378.0,7289.0,60647.0,135.0,1450.0,4195.0,587.0,30.0,0.0,8722.0,0.0,8722.0,0.0,2012
Hispanic/Latin American,61535.0,2445.0,99.0,95.0,2100.0,0.0,0.0,0.0,2462.0,0.0,483.0,0.0,42175.0,0.0,4170.0,7623.0,1630.0,2012
African Am./Caribbean,100087.0,42061.0,2916.0,1112.0,9509.0,386.0,1994.0,0.0,32407.0,0.0,2889.0,32.0,82030.0,96436.0,1456.0,9117.0,0.0,2012
Asian,240883.0,28222.0,26338.0,28509.0,100253.0,21746.0,26830.0,23301.0,11757.0,53770.0,1297.0,5947.0,55136.0,19476.0,0.0,0.0,0.0,2012
African,0.0,0.0,87.0,2153.0,0.0,0.0,0.0,3176.0,0.0,397.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
Other/Mixed,74197.0,0.0,3837.0,0.0,1503.0,5878.0,928.0,1512.0,1399.0,1157.0,915.0,85.0,0.0,0.0,0.0,0.0,0.0,2012
European,1252298.0,203475.0,715543.0,356265.0,326505.0,373891.0,169200.0,289904.0,275294.0,863564.0,11218.0,279569.0,84148.0,128501.0,606356.0,8886.0,0.0,2013
In Part Not Recorded,542.0,3269.0,225501.0,3059.0,5127.0,682263.0,3059.0,1456.0,889.0,20264.0,155.0,7230.0,5619.0,0.0,0.0,0.0,0.0,2013
Hispanic/Latin American,16628.0,2952.0,0.0,0.0,2600.0,1233.0,8214.0,6027.0,503.0,0.0,1908.0,616.0,3348.0,0.0,11321.0,0.0,0.0,2013
African Am./Caribbean,67784.0,1820.0,17945.0,0.0,7843.0,1031.0,0.0,225.0,0.0,0.0,4520.0,7808.0,88742.0,117299.0,15860.0,0.0,0.0,2013
Asian,106181.0,11205.0,26181.0,10784.0,26659.0,14828.0,38763.0,18132.0,15762.0,35735.0,24866.0,17816.0,8158.0,0.0,20932.0,6692.0,2420.0,2013
African,1238.0,0.0,1103.0,12316.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,2013
Other/Mixed,2929.0,0.0,50.0,2116.0,4911.0,3945.0,1018.0,1840.0,1094.0,0.0,703.0,346.0,502.0,1165.0,0.0,0.0,0.0,2013
European,1674983.0,176401.0,420578.0,44103.0,495474.0,44137.0,107283.0,233257.0,286539.0,140986.0,33296.0,177524.0,398542.0,133216.0,230353.0,0.0,0.0,2014
In Part Not Recorded,107377.0,12016.0,34992.0,0.0,0.0,3637.0,2807.0,0.0,8811.0,0.0,292.0,8507.0,5811.0,0.0,15939.0,574.0,0.0,2014
Hispanic/Latin American,35782.0,665.0,3174.0,0.0,7874.0,0.0,2583.0,10510.0,1367.0,4652.0,123.0,8.0,1459.0,0.0,10725.0,0.0,0.0,2014
African Am./Caribbean,18102.0,0.0,16787.0,190.0,7974.0,0.0,23827.0,14527.0,1252.0,1985.0,1033.0,458.0,2224.0,34467.0,0.0,0.0,0.0,2014
Asian,178191.0,19984.0,15603.0,10258.0,64377.0,17192.0,50072.0,18005.0,11126.0,16061.0,1560.0,21470.0,147583.0,45297.0,0.0,7804.0,0.0,2014
